Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2013,Georgia,4672928.0,241974.1402049509,0.517712545662186,3717668,3.933646408
2014,Georgia,4672928.0,244780.1353273916,0.04808922178929835,3719414,4.382901471
2015,Georgia,4672928.0,229933.30432256512,0.04491202089837377,3725276,2.8600942430000003
2016,Georgia,4672928.0,231321.4191483042,0.04520907551289791,3727505,2.844902055
2017,Georgia,4672928.0,271719.1688341362,0.05385413695742092,3728004,4.828569855
2018,Georgia,4672928.0,236764.40852575487,0.046373867561363184,3726549,4.910880368
1992,Hungary,269790.0,565347.0,2.0955076170354716,10369341,-3.0262355530000002
1993,Hungary,269790.0,678796.0,2.5160161607175957,10357523,-0.462665221
1994,Hungary,269790.0,1405185.0,5.2084398976982085,10343355,3.088168308
1995,Hungary,269790.0,1037582.0,3.8458875421624232,10328965,1.6309175969999998
1996,Hungary,269790.0,933271.0,3.45924978687127,10311238,0.254477053
1997,Hungary,269790.0,1805488.0,6.692197635197745,10290486,3.35112462
1998,Hungary,269790.0,2132558.0,7.904510915897549,10266570,4.142037808
1999,Hungary,269790.0,1801736.0,6.678290522258052,10237530,3.363400973
2000,Hungary,269790.0,2001371.0,7.41825493902665,10210971,4.750944768
2001,Hungary,269790.0,2275232.0,8.433344453093147,10187576,4.313091624
2002,Hungary,269790.0,1934798.0,7.171496349012195,10158608,5.039956141
2003,Hungary,269790.0,2133332.0,7.907379813929353,10129552,4.383086901
2004,Hungary,269790.0,1572113.0,5.827172986396827,10107146,5.055227688
2005,Hungary,269790.0,1902498.0,7.0517736016902015,10087065,4.451150578
2006,Hungary,269790.0,1654551.0,6.1327365728900265,10071370,4.193132949
2007,Hungary,269790.0,1623258.0,6.0167463582786604,10055780,0.39758845200000004
2008,Hungary,269790.0,983464.0,3.6452944883057192,10038188,1.235397085
2009,Hungary,269790.0,848376.0,3.144579117091071,10022650,-6.554912111
2010,Hungary,269790.0,1351945.0,5.011101226880166,10000023,0.892064394
2011,Hungary,269790.0,980521.0,3.6343860039289817,9971727,2.1080041019999998
2012,Hungary,4672928.0,1080967.3817563765,2.121969653840682,9920362,-0.9616359390000001
2013,Hungary,4672928.0,990533.6182436236,1.7643720308200042,9893082,2.244145188
2014,Hungary,4672928.0,961775.0305650216,0.03141210976074814,9866468,4.476140223
2015,Hungary,4672928.0,1034752.6978371851,0.047029227608950265,9843028,4.0928535460000015
2016,Hungary,4672928.0,1028808.2731581952,0.0457571291133197,9814023,2.502047265
2017,Hungary,4672928.0,1016187.1900841108,0.0430562351397587,9787966,4.600531608
2018,Hungary,4672928.0,976187.2911195016,0.03449631318833787,9775564,5.227332551
1992,India,11590432.0,7923011.0,0.6835820269684513,909307016,3.3904192319999997
1993,India,11590432.0,9159391.0,0.7902544961223188,927403860,2.706727733
1994,India,11590432.0,19506846.0,1.6830128505995292,945601831,4.606288441
1995,India,11590432.0,11809796.0,1.018926300590004,963922588,5.529881465
1996,India,11590432.0,12201137.0,1.0526904432897757,982365243,5.530417086
1997,India,11590432.0,21376606.0,1.844332118078084,1000900030,2.123013766
1998,India,11590432.0,24323277.0,2.098565178588684,1019483581,4.248844181
1999,India,11590432.0,24745904.0,2.1350286167072983,1038058156,6.8981155
2000,India,11590432.0,26441225.0,2.2812976254897137,1056575549,2.021088695
2001,India,11590432.0,26814822.0,2.313530850273743,1075000085,3.0273776239999997
2002,India,11590432.0,27108122.0,2.3388362055875054,1093317189,2.064875058
2003,India,11590432.0,21094863.0,1.8200238783161835,1111523144,6.093705485
2004,India,11590432.0,23865473.0,2.05906673711558,1129623456,6.193653447999999
2005,India,11590432.0,21716951.0,1.8736964247751944,1147609927,6.231948516
2006,India,11590432.0,23066583.0,1.9901400569021068,1165486291,6.403284515
2007,India,11590432.0,26661612.0,2.3003121885361995,1183209472,6.04817406
2008,India,11590432.0,15158007.0,1.3078034537452958,1200669765,1.587598136
2009,India,11590432.0,14461509.0,1.2477109567615772,1217726215,6.351088711
2010,India,11590432.0,21892570.0,1.8888484915834023,1234281170,7.042346887000001
2011,India,11590432.0,18633968.0,1.607702629203122,1250288729,3.893930345
2012,India,4672928.0,20567116.8514535,2.0540908052867444,1265782790,4.165499831
2013,India,4672928.0,20335785.148546506,2.024339531818208,1280846129,5.134956907
2014,India,4672928.0,20331560.407219168,2.288262380894184,1295604184,6.186731983
2015,India,4672928.0,20371219.14045054,2.2967492938599667,1310152403,6.797039412
2016,India,4672928.0,20523261.44297235,2.329286132116797,1324509589,7.082848187000001
2017,India,4672928.0,20641947.282237493,2.3546847342919515,1338658835,5.912397886
2018,India,4672928.0,20655628.016909353,2.3576123922126087,1352617328,5.024473331
1992,Indonesia,10441980.0,914064.0,0.08753742106382123,187739786,4.711834457
1993,Indonesia,10441980.0,1369995.0,0.1312006918228152,190851175,4.760229379
1994,Indonesia,10441980.0,2781003.0,0.2663290870122333,193917462,5.83951353
